,model_name,temp_uncertainty,test_error,test_std,Hour
54,xgb_best_max_hour,10,212.65732878717287,10.417086943200271,19
55,lin_xgb_best_per_hour,0,98.69607587293677,0.0,19
56,lin_xgb_best_per_hour,1,104.46249845695935,1.8121360290077946,19
57,lin_xgb_best_per_hour,2,115.82368666675855,3.0771275506589872,19
58,lin_xgb_best_per_hour,3,131.24982773955028,4.234567711013243,19
59,lin_xgb_best_per_hour,4,149.2521754726803,5.473324165077935,19
60,lin_xgb_best_per_hour,5,167.64916917867035,6.446806294581585,19
61,lin_xgb_best_per_hour,6,190.3270947773513,7.540955547995744,19
62,lin_xgb_best_per_hour,7,209.81949318534305,8.818215810655703,19
63,lin_xgb_best_per_hour,8,229.79776644313282,9.737912519092353,19
64,lin_xgb_best_per_hour,9,250.65991916702734,12.138250138198831,19
65,lin_xgb_best_per_hour,10,270.8437862509664,12.238633821809147,19
66,lin_xgb_best_max_hour,0,96.54622269423882,0.0,19
67,lin_xgb_best_max_hour,1,103.94810078813217,1.8624016526105223,19
68,lin_xgb_best_max_hour,2,115.26463558083744,3.3774347782198446,19
69,lin_xgb_best_max_hour,3,129.8181496118098,4.166447343522453,19
70,lin_xgb_best_max_hour,4,147.55785493214614,5.748202920674932,19
71,lin_xgb_best_max_hour,5,165.54113336327916,6.8729236360309764,19
72,lin_xgb_best_max_hour,6,186.61010871465368,7.726498205279391,19
73,lin_xgb_best_max_hour,7,203.98821942808667,8.945396094079138,19
74,lin_xgb_best_max_hour,8,224.4633676012518,10.843280404216374,19
75,lin_xgb_best_max_hour,9,244.0336037108409,10.744748948299174,19
76,lin_xgb_best_max_hour,10,263.60751224630496,12.149153115239402,19
0,linears,0,92.18229644852576,0.0,20
1,linears,1,92.72407914969885,1.3054463860003391,20
2,linears,2,99.81810892565173,2.4583637159064766,20
3,linears,3,110.03133989354333,3.6216486346748202,20
4,linears,4,124.06832254843128,4.624975566474749,20
5,linears,5,137.86707903859175,5.310777265747877,20
6,linears,6,154.64014853030002,5.094864300566725,20
7,linears,7,171.82646800520877,7.433516624727498,20
8,linears,8,187.31899766715065,8.275755057608531,20
9,linears,9,206.1290248828849,8.948958888023524,20
10,linears,10,222.64397173352475,9.749801899844904,20
11,ridges,0,92.68142830258807,0.0,20
12,ridges,1,93.17955853942777,1.153450129763231,20
13,ridges,2,100.08641583694214,2.415009001323538,20
14,ridges,3,110.54726568448285,3.5818743444627237,20
15,ridges,4,122.9460116326392,4.480082294896023,20
16,ridges,5,138.00686210295882,5.317507606403058,20
17,ridges,6,153.41402152424834,5.831015575698254,20
18,ridges,7,168.92878670543968,6.424396630004674,20
19,ridges,8,186.16209996509414,7.953130302419788,20
20,ridges,9,203.13836586119996,8.420148760545668,20
21,ridges,10,219.49159729953644,9.020632794290806,20
22,lassos,0,93.1457298965036,0.0,20
23,lassos,1,93.74244042450077,1.2734602338789205,20
24,lassos,2,100.8410993426989,2.5143936728030396,20
25,lassos,3,111.26836810658102,3.558869589503142,20
26,lassos,4,123.55029711833951,4.149092929614155,20
27,lassos,5,139.13318326760782,5.21362415986816,20
28,lassos,6,154.50079270869205,6.937678353786426,20
29,lassos,7,169.714743826223,6.98200145332002,20
30,lassos,8,186.13603380563393,8.47178254469399,20
31,lassos,9,204.2307633159232,9.702852361729624,20
32,lassos,10,221.42000477929977,8.702510874362897,20
33,xgb_best_per_hour,0,108.22254936848341,0.0,20
34,xgb_best_per_hour,1,105.66908608138456,1.730788646236584,20
35,xgb_best_per_hour,2,117.31439490119668,3.082634749012924,20
36,xgb_best_per_hour,3,130.9740848040406,5.04012579895221,20
37,xgb_best_per_hour,4,144.02769124006664,5.71652655597021,20
38,xgb_best_per_hour,5,155.01110939880314,6.667491633001717,20
39,xgb_best_per_hour,6,166.53161976353806,7.639508780078496,20
40,xgb_best_per_hour,7,174.22948899289597,8.43638086036706,20
41,xgb_best_per_hour,8,181.13694781771505,9.261817703957213,20
42,xgb_best_per_hour,9,189.03244121013694,10.070477598579876,20
43,xgb_best_per_hour,10,195.09519560700576,9.5286399649411,20
44,xgb_best_max_hour,0,109.1076876905404,0.0,20
45,xgb_best_max_hour,1,107.01859339648439,1.5215405061445744,20
46,xgb_best_max_hour,2,118.25869975892485,3.295150182420649,20
47,xgb_best_max_hour,3,131.62614083229502,4.415594484494709,20
48,xgb_best_max_hour,4,143.8661269108317,6.522042616067231,20
49,xgb_best_max_hour,5,155.66414455995059,6.257759671091677,20
50,xgb_best_max_hour,6,166.68513067916112,7.291791076736834,20
51,xgb_best_max_hour,7,176.5300001406483,8.313880981973435,20
